[rosmaster.main][INFO] 2016-08-11 14:03:40,287: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2016-08-11 14:03:40,287: Starting ROS Master Node
[xmlrpc][INFO] 2016-08-11 14:03:40,288: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2016-08-11 14:03:40,288: Started XML-RPC server [http://SMB303B:11311/]
[xmlrpc][INFO] 2016-08-11 14:03:40,289: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2016-08-11 14:03:40,289: Master initialized: port[11311], uri[http://SMB303B:11311/]
[rosmaster.master][INFO] 2016-08-11 14:03:40,381: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2016-08-11 14:03:40,382: +PARAM [/roslaunch/uris/host_smb303b__39383] by /roslaunch
[rosmaster.master][INFO] 2016-08-11 14:03:40,420: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2016-08-11 14:03:40,420: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2016-08-11 14:03:40,424: +SERVICE [/rosout/get_loggers] /rosout http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:03:40,425: +SERVICE [/rosout/set_logger_level] /rosout http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:03:40,426: +PUB [/rosout_agg] /rosout http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:03:40,429: +SUB [/rosout] /rosout http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:03:43,232: +PUB [/rosout] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:03:43,235: +SERVICE [/arbotix/get_loggers] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:03:43,236: +SERVICE [/arbotix/set_logger_level] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:03:43,246: +PUB [/diagnostics] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:03:43,249: +PUB [/joint_states] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:03:43,292: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:03:44,264: +SERVICE [/arbotix/SetupAnalogIn] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:03:44,266: +SERVICE [/arbotix/SetupDigitalIn] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:03:44,267: +SERVICE [/arbotix/SetupDigitalOut] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:07:34,376: -PUB [/diagnostics] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:07:34,376: -PUB [/joint_states] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:07:34,377: -PUB [/rosout] /arbotix http://SMB303B:38580/
[rosmaster.master][INFO] 2016-08-11 14:07:34,377: -SERVICE [/arbotix/SetupDigitalOut] /arbotix rosrpc://SMB303B:42210
[rosmaster.master][INFO] 2016-08-11 14:07:34,377: -SERVICE [/arbotix/get_loggers] /arbotix rosrpc://SMB303B:42210
[rosmaster.master][INFO] 2016-08-11 14:07:34,377: -SERVICE [/arbotix/SetupDigitalIn] /arbotix rosrpc://SMB303B:42210
[rosmaster.master][INFO] 2016-08-11 14:07:34,377: -SERVICE [/arbotix/SetupAnalogIn] /arbotix rosrpc://SMB303B:42210
[rosmaster.master][INFO] 2016-08-11 14:07:34,378: -SERVICE [/arbotix/set_logger_level] /arbotix rosrpc://SMB303B:42210
[rosmaster.master][INFO] 2016-08-11 14:07:34,411: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:07:35,693: +PUB [/rosout] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:35,696: +SERVICE [/arbotix/get_loggers] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:35,698: +SERVICE [/arbotix/set_logger_level] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:35,710: +PUB [/diagnostics] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:35,713: +PUB [/joint_states] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:35,714: publisherUpdate[/rosout] -> http://SMB303B:41049/
[rosmaster.master][INFO] 2016-08-11 14:07:36,729: +SERVICE [/arbotix/SetupAnalogIn] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:36,731: +SERVICE [/arbotix/SetupDigitalIn] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:36,732: +SERVICE [/arbotix/SetupDigitalOut] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:43,336: -PUB [/diagnostics] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:43,336: -PUB [/joint_states] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:43,337: -PUB [/rosout] /arbotix http://SMB303B:39223/
[rosmaster.master][INFO] 2016-08-11 14:07:43,337: -SERVICE [/arbotix/SetupDigitalOut] /arbotix rosrpc://SMB303B:34067
[rosmaster.master][INFO] 2016-08-11 14:07:43,337: -SERVICE [/arbotix/get_loggers] /arbotix rosrpc://SMB303B:34067
[rosmaster.master][INFO] 2016-08-11 14:07:43,337: -SERVICE [/arbotix/SetupDigitalIn] /arbotix rosrpc://SMB303B:34067
